id,condition,source_col,sentence,version,label
61,easy,message_how,Keep matching shapes all the way through the game until it turns purple in colour then it wont match with anything so move on!,original,strategy
61,easy,message_rules,"Same shapes, ignore pattern and colour until it turns purple.",original,rule
61,easy,summary,Match same shapes with same shapes Ignore colour and pattern Purple should harvest??,original,rule
62,medium,message_how,"Only combine Triangles with Diamonds, and Squares with Circles (and vice versa both)",original,rule
62,medium,message_rules,The rules suggested by other players didnt work.,original,other
62,medium,summary,"Only combine Triangles with Circles, and Squares with Diamonds (and vice versa both) - no other combination will work.",original,rule
62,medium,summary,"P.s when you get to purple colour, bank it!",original,tip
62,medium,summary,the value wont increase.,original,other
63,easy,message_how,Merge shapes with matching shapes eg.,original,rule
63,easy,message_how,"square & square, regardless of pattern, until you get to purple.",original,rule
63,easy,message_how,Dont forget to drop your purple shape in an empty square to recieve points.,original,tip
63,easy,message_rules,"Some shapes are left at the end, use them up to collect extra points.",original,strategy
63,easy,summary,"Match shapes with same/similar shapes, pattern and colour do not matter, take your time and remember to use spacebar wisely.",original,rule
64,hard,message_how,concentrate on squares and circles matching together and vary the patterns on the shapes to get a match,original,rule
64,hard,message_rules,changing up the patterns helped with matching,original,strategy
64,hard,summary,"Diamonds and triangle together, circles and squares together",original,rule
65,medium,message_how,DIAMONDS AND TRIANGLES SEEMED TO PAY BEST,original,rule
65,medium,message_rules,NO REAL PATTERN I COULD DISCERN APART FROM DIAMONDS AND TRIANGLES,original,other
65,medium,summary,triangles with circles and squares with diamonds is the best stategy.,original,rule
65,medium,summary,ALWAYS BANK PURPLES,original,tip
66,hard,message_how,"Make sure your first pair of diamonds and triangles, and then circles and squares, match.",original,rule
66,hard,message_how,Keep adding triangles to triangles and squares to squares.,original,rule
66,hard,message_rules,"Circles and squares go together, diamonds and triangles go together.",original,rule
66,hard,summary,Diamond and triangles+triangle+triangle.,original,rule
66,hard,summary,Harvest.,original,other
66,hard,summary,Circles and squares.,original,rule
67,medium,message_how,Diamonds + triangles give you a colour and was the only combination I found worked.,original,rule
67,medium,message_how,To change colour keep adding a diamond.,original,tip
67,medium,message_how,Collect purple as this is high scoring.,original,tip
67,medium,message_how,Diamond +diamond does not work.,original,rule
67,medium,message_how,Circle + circle does not work,original,rule
67,medium,message_rules,Only diamonds + triangles in that order I found worked.,original,rule
67,medium,message_rules,Keep adding a triangle once you have your first combination to move up the colours.,original,strategy
67,medium,summary,Combinations of triangles and circles  Combinations of squares and diamonds Keep merging with same shape Bank purples.,original,rule
68,easy,message_how,Shapes match with the same shapes meaning triangle to triangle square to square so ensure you match the same shapes to the same shapes till you get to purple then press space on an empty square to harvest points once its purple.,original,rule
68,easy,message_rules,Shapes match to the same shapes.,original,rule
68,easy,message_rules,Ignore pattern and color and just keep merging the same shapes till you get a purple color which is the max then you harvest it and continue till the next shape and on and on until you clear the board of all shapes that can be matched.,original,rule
