sub_id,assignment,created_at,token,condition,age,sex,engagement,difficulty,feedback,start_time,allow_regeneration,total_points,summary,message_how,message_rules,reflect_duration_ms,task_duration_ms,composition_duration_ms,version
61,easy,2026-04-21 09:35:49,UM6R0NFA,easy,25,female,10,4,none,10_31_40,TRUE,212110,Match same shapes with same shapes\nIgnore colour and pattern\nPurple should harvest??,Keep matching shapes all the way through the game until it turns purple in colour then it wont match with anything so move on!,"Same shapes, ignore pattern and colour until it turns purple.",23632,116460,39925,original
62,medium,2026-04-21 09:39:58,VVT0INJJ,medium,49,male,10,8,It didnt work to trust the other players.,10_33_43,TRUE,200102,"Only combine Triangles with Circles, and Squares with Diamonds (and vice versa both) - no other combination will work. P.s when you get to purple colour, bank it! the value wont increase.","Only combine Triangles with Diamonds, and Squares with Circles (and vice versa both)",The rules suggested by other players didnt work.,10151,246833,34182,original
63,easy,2026-04-21 09:40:50,9RCJPAYG,easy,35,female,9,4,NA,10_31_36,TRUE,400040,"Match shapes with same/similar shapes, pattern and colour do not matter, take your time and remember to use spacebar wisely.","Merge shapes with matching shapes eg. square & square, regardless of pattern, until you get to purple. Dont forget to drop your purple shape in an empty square to recieve points.","Some shapes are left at the end, use them up to collect extra points.",70510,168189,141374,original
64,hard,2026-04-21 09:41:02,90UP8FOD,hard,34,female,7,6,No thank you,10_31_40,TRUE,111000,"Diamonds and triangle together, circles and squares together",concentrate on squares and circles matching together and vary the patterns on the shapes to get a match,changing up the patterns helped with matching,24037,338402,90144,original
65,medium,2026-04-21 09:42:06,BEH9Z5E5,medium,61,male,8,9,REAL BRAIN MOTIVATOR THANK YOU,10_31_29,TRUE,111,triangles with circles and squares with diamonds is the best stategy. ALWAYS BANK PURPLES,DIAMONDS AND TRIANGLES SEEMED TO PAY BEST,NO REAL PATTERN I COULD DISCERN APART FROM DIAMONDS AND TRIANGLES,83520,239948,109116,original
66,hard,2026-04-21 09:46:13,SO5MZORY,hard,37,female,10,7,No thank you. It was fun.,10_35_39,TRUE,21140,Diamond and triangles+triangle+triangle. Harvest. Circles and squares.,"Make sure your first pair of diamonds and triangles, and then circles and squares, match. Keep adding triangles to triangles and squares to squares.","Circles and squares go together, diamonds and triangles go together.",42288,221860,71952,original
67,medium,2026-04-21 09:49:07,2LYG1W0Z,medium,43,female,9,8,It was interesting as  a lot of the advice did not seem to work.,10_33_51,TRUE,110010,Combinations of triangles and circles \nCombinations of squares and diamonds\nKeep merging with same shape\nBank purples.,Diamonds + triangles give you a colour and was the only combination I found worked. To change colour keep adding a diamond. Collect purple as this is high scoring.\nDiamond +diamond does not work.\nCircle + circle does not work,Only diamonds + triangles in that order I found worked.\nKeep adding a triangle once you have your first combination to move up the colours.,63445,308500,231288,original
68,easy,2026-04-21 09:50:07,G6JSLX4G,easy,28,male,10,0,I have no additional comments. It was fun,10_33_40,TRUE,400040,Merge the same shapes to the same shapes until you find a purple colour and do not forget to stop on an empty space and press space bar to get points. Colour and pattern does not seem to matter.,Shapes match with the same shapes meaning triangle to triangle square to square so ensure you match the same shapes to the same shapes till you get to purple then press space on an empty square to harvest points once its purple.,Shapes match to the same shapes. Ignore pattern and color and just keep merging the same shapes till you get a purple color which is the max then you harvest it and continue till the next shape and on and on until you clear the board of all shapes that can be matched.,75476,260180,120107,original
69,medium,2026-04-21 09:50:34,3EMWVGFY,medium,62,female,8,9,Couldnt get the hang of turning an orange one into another colour - tried extra spacebars - dont know what I was doing wrong.,10_36_41,TRUE,164,one person said triangle+diamond and square+circle but another said triangle+circle and square+diamond,Diamond plus triangle works (and square plus circle works) but not triangle plus diamond.,The order you pick them up in matters.,52576,354389,107611,original
70,medium,2026-04-21 09:50:39,88B42E9J,medium,45,male,9,10,no,10_35_53,TRUE,12,I want to combine triangles with circles and squares with diamonds. If i see a purple bank it there worth a lot.,"I found no combination, the last player who left advice was wrong and did not work. i treid all combinations then was left with collectiong single points. Do not rely on other players and there advice.",I did not notice any paterns or rules. judging by what other players said it is better to play the game on your own and no rely on other players making false statements about combinations that dont work.,78876,286044,184910,original
